1706603282.480517 server started (18736): version next-3.4, socket /tmp/tmux-1000/default, protocol 8
1706603282.480570 on Linux 6.6.3-411.asahi.fc39.aarch64+16k #1 SMP PREEMPT_DYNAMIC Tue Dec 19 10:21:20 UTC 2023
1706603282.480575 using libevent 2.1.12-stable poll
1706603282.480576 using ncurses 6.4 20230520
1706603282.480781 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1706603282.480783 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1706603282.480784 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1706603282.480785 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1706603282.480787 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1706603282.480789 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1706603282.480790 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1706603282.480792 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1706603282.480793 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1706603282.480794 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1706603282.480796 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1706603282.480797 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1706603282.480799 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1706603282.480800 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1706603282.480801 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1706603282.480803 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1706603282.480804 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1706603282.480805 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1706603282.480807 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1706603282.480808 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1706603282.480810 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1706603282.480811 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1706603282.480812 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1706603282.480814 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1706603282.480815 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1706603282.480817 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1706603282.480818 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1706603282.480819 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1706603282.480821 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1706603282.480822 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1706603282.480824 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1706603282.480825 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1706603282.480826 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1706603282.480828 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1706603282.480829 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1706603282.480831 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1706603282.480832 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1706603282.480833 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1706603282.480835 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1706603282.480836 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1706603282.480838 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1706603282.480839 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1706603282.480840 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1706603282.480843 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1706603282.480844 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1706603282.480845 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1706603282.480847 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1706603282.480848 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1706603282.480849 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1706603282.480851 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1706603282.480852 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1706603282.480854 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1706603282.480855 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1706603282.480856 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1706603282.480858 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1706603282.480859 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1706603282.480860 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1706603282.480862 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1706603282.480863 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1706603282.480865 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1706603282.480866 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1706603282.480867 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1706603282.480869 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1706603282.480870 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1706603282.480872 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1706603282.480873 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1706603282.480874 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1706603282.480876 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1706603282.480877 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1706603282.480878 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1706603282.480880 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1706603282.480881 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1706603282.480883 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1706603282.480884 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1706603282.480886 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1706603282.480887 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1706603282.480889 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1706603282.480890 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1706603282.480891 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1706603282.480893 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1706603282.480894 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1706603282.480896 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1706603282.480897 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1706603282.480898 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1706603282.480900 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1706603282.480901 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1706603282.480903 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1706603282.480904 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1706603282.480905 input_key_build: 0x40200000000009 (C-Tab[E]) is \033[9;5u
1706603282.480907 input_key_build: 0x40600000000009 (C-S-Tab[E]) is \033[1;5Z
1706603282.480912 yylex_token: end at WS
1706603282.480913 yylex_token: bind
1706603282.480915 yylex_token: end at WS
1706603282.480916 yylex_token: -N
1706603282.480918 yylex_token: end at WS
1706603282.480920 yylex_token: Send the prefix key
1706603282.480921 yylex_token: end at WS
1706603282.480922 yylex_token: C-b
1706603282.480924 yylex_token: end at WS
1706603282.480925 yylex_token: send-prefix
1706603282.480928 cmd_parse_build_commands 0:0: bind
1706603282.480932 cmd_parse_build_commands 0:1: -N
1706603282.480934 cmd_parse_build_commands 0:2: Send the prefix key
1706603282.480935 cmd_parse_build_commands 0:3: C-b
1706603282.480937 cmd_parse_build_commands 0:4 0:0: send-prefix
1706603282.480940 cmd_parse_build_commands 0:0: send-prefix
1706603282.480945 args_parse: flags end at 1 of 1
1706603282.480948 cmd_parse_build_commands: send-prefix
1706603282.480949 args_parse_flags: next -N
1706603282.480951 args_parse_flag_argument: -N = Send the prefix key
1706603282.480953 args_parse_flags: next C-b
1706603282.480955 args_parse: flags end at 3 of 5
1706603282.480957 args_parse: 3 = C-b (type STRING)
1706603282.480958 args_parse: 4 = send-prefix (type COMMANDS)
1706603282.480964 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1706603282.480967 cmdq_get_command: [bind-key/0xaaab51e40e10] group 2
1706603282.480970 cmdq_append <global>: [bind-key/0xaaab51e40e10]
1706603282.480971 yylex_token: end at WS
1706603282.480972 yylex_token: bind
1706603282.480974 yylex_token: end at WS
1706603282.480975 yylex_token: -N
1706603282.480978 yylex_token: end at WS
1706603282.480979 yylex_token: Rotate through the panes
1706603282.480981 yylex_token: end at WS
1706603282.480982 yylex_token: C-o
1706603282.480985 yylex_token: end at WS
1706603282.480986 yylex_token: rotate-window
1706603282.480987 cmd_parse_build_commands 0:0: bind
1706603282.480989 cmd_parse_build_commands 0:1: -N
1706603282.480991 cmd_parse_build_commands 0:2: Rotate through the panes
1706603282.480993 cmd_parse_build_commands 0:3: C-o
1706603282.480994 cmd_parse_build_commands 0:4 0:0: rotate-window
1706603282.480996 cmd_parse_build_commands 0:0: rotate-window
1706603282.481000 args_parse: flags end at 1 of 1
1706603282.481002 cmd_parse_build_commands: rotate-window
1706603282.481003 args_parse_flags: next -N
1706603282.481005 args_parse_flag_argument: -N = Rotate through the panes
1706603282.481007 args_parse_flags: next C-o
1706603282.481008 args_parse: flags end at 3 of 5
1706603282.481010 args_parse: 3 = C-o (type STRING)
1706603282.481012 args_parse: 4 = rotate-window (type COMMANDS)
1706603282.481016 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1706603282.481018 cmdq_get_command: [bind-key/0xaaab51e3f130] group 10
1706603282.481020 cmdq_append <global>: [bind-key/0xaaab51e3f130]
1706603282.481021 yylex_token: end at WS
1706603282.481023 yylex_token: bind
1706603282.481024 yylex_token: end at WS
1706603282.481025 yylex_token: -N
1706603282.481028 yylex_token: end at WS
1706603282.481029 yylex_token: Suspend the current client
1706603282.481030 yylex_token: end at WS
1706603282.481032 yylex_token: C-z
1706603282.481034 yylex_token: end at WS
1706603282.481036 yylex_token: suspend-client
1706603282.481037 cmd_parse_build_commands 0:0: bind
1706603282.481039 cmd_parse_build_commands 0:1: -N
1706603282.481041 cmd_parse_build_commands 0:2: Suspend the current client
1706603282.481043 cmd_parse_build_commands 0:3: C-z
1706603282.481044 cmd_parse_build_commands 0:4 0:0: suspend-client
1706603282.481046 cmd_parse_build_commands 0:0: suspend-client
1706603282.481050 args_parse: flags end at 1 of 1
1706603282.481052 cmd_parse_build_commands: suspend-client
1706603282.481053 args_parse_flags: next -N
1706603282.481056 args_parse_flag_argument: -N = Suspend the current client
1706603282.481057 args_parse_flags: next C-z
1706603282.481058 args_parse: flags end at 3 of 5
1706603282.481059 args_parse: 3 = C-z (type STRING)
1706603282.481061 args_parse: 4 = suspend-client (type COMMANDS)
1706603282.481066 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1706603282.481067 cmdq_get_command: [bind-key/0xaaab51e3d1b0] group 18
1706603282.481069 cmdq_append <global>: [bind-key/0xaaab51e3d1b0]
1706603282.481071 yylex_token: end at WS
1706603282.481072 yylex_token: bind
1706603282.481074 yylex_token: end at WS
1706603282.481075 yylex_token: -N
1706603282.481077 yylex_token: end at WS
1706603282.481080 yylex_token: Select next layout
1706603282.481081 yylex_token: end at WS
1706603282.481082 yylex_token: Space
1706603282.481084 yylex_token: end at WS
1706603282.481086 yylex_token: next-layout
1706603282.481087 cmd_parse_build_commands 0:0: bind
1706603282.481089 cmd_parse_build_commands 0:1: -N
1706603282.481090 cmd_parse_build_commands 0:2: Select next layout
1706603282.481092 cmd_parse_build_commands 0:3: Space
1706603282.481094 cmd_parse_build_commands 0:4 0:0: next-layout
1706603282.481096 cmd_parse_build_commands 0:0: next-layout
1706603282.481098 args_parse: flags end at 1 of 1
1706603282.481100 cmd_parse_build_commands: next-layout
1706603282.481101 args_parse_flags: next -N
1706603282.481103 args_parse_flag_argument: -N = Select next layout
1706603282.481105 args_parse_flags: next Space
1706603282.481107 args_parse: flags end at 3 of 5
1706603282.481108 args_parse: 3 = Space (type STRING)
1706603282.481110 args_parse: 4 = next-layout (type COMMANDS)
1706603282.481113 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1706603282.481115 cmdq_get_command: [bind-key/0xaaab51e3df00] group 26
1706603282.481117 cmdq_append <global>: [bind-key/0xaaab51e3df00]
1706603282.481119 yylex_token: end at WS
1706603282.481121 yylex_token: bind
1706603282.481122 yylex_token: end at WS
1706603282.481123 yylex_token: -N
1706603282.481125 yylex_token: end at WS
1706603282.481127 yylex_token: Break pane to a new window
1706603282.481128 yylex_token: end at WS
1706603282.481129 yylex_token: !
1706603282.481131 yylex_token: end at WS
1706603282.481132 yylex_token: break-pane
1706603282.481135 cmd_parse_build_commands 0:0: bind
1706603282.481136 cmd_parse_build_commands 0:1: -N
1706603282.481137 cmd_parse_build_commands 0:2: Break pane to a new window
1706603282.481139 cmd_parse_build_commands 0:3: !
1706603282.481140 cmd_parse_build_commands 0:4 0:0: break-pane
1706603282.481143 cmd_parse_build_commands 0:0: break-pane
1706603282.481144 args_parse: flags end at 1 of 1
1706603282.481146 cmd_parse_build_commands: break-pane
1706603282.481148 args_parse_flags: next -N
1706603282.481150 args_parse_flag_argument: -N = Break pane to a new window
1706603282.481151 args_parse_flags: next !
1706603282.481152 args_parse: flags end at 3 of 5
1706603282.481154 args_parse: 3 = ! (type STRING)
1706603282.481156 args_parse: 4 = break-pane (type COMMANDS)
1706603282.481159 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1706603282.481162 cmdq_get_command: [bind-key/0xaaab51e42be0] group 34
1706603282.481163 cmdq_append <global>: [bind-key/0xaaab51e42be0]
1706603282.481165 yylex_token: end at WS
1706603282.481166 yylex_token: bind
1706603282.481168 yylex_token: end at WS
1706603282.481169 yylex_token: -N
1706603282.481171 yylex_token: end at WS
1706603282.481172 yylex_token: Split window vertically
1706603282.481174 yylex_token: end at WS
1706603282.481175 yylex_token: "
1706603282.481177 yylex_token: end at WS
1706603282.481179 yylex_token: split-window
1706603282.481180 cmd_parse_build_commands 0:0: bind
1706603282.481182 cmd_parse_build_commands 0:1: -N
1706603282.481184 cmd_parse_build_commands 0:2: Split window vertically
1706603282.481185 cmd_parse_build_commands 0:3: "
1706603282.481187 cmd_parse_build_commands 0:4 0:0: split-window
1706603282.481188 cmd_parse_build_commands 0:0: split-window
1706603282.481193 args_parse: flags end at 1 of 1
1706603282.481194 cmd_parse_build_commands: split-window
1706603282.481196 args_parse_flags: next -N
1706603282.481198 args_parse_flag_argument: -N = Split window vertically
1706603282.481199 args_parse_flags: next "
1706603282.481200 args_parse: flags end at 3 of 5
1706603282.481202 args_parse: 3 = " (type STRING)
1706603282.481203 args_parse: 4 = split-window (type COMMANDS)
1706603282.481207 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1706603282.481209 cmdq_get_command: [bind-key/0xaaab51e438a0] group 42
1706603282.481211 cmdq_append <global>: [bind-key/0xaaab51e438a0]
1706603282.481213 yylex_token: end at WS
1706603282.481214 yylex_token: bind
1706603282.481216 yylex_token: end at WS
1706603282.481217 yylex_token: -N
1706603282.481220 yylex_token: end at WS
1706603282.481221 yylex_token: List all paste buffers
1706603282.481222 yylex_token: end at WS
1706603282.481223 yylex_token: #
1706603282.481225 yylex_token: end at WS
1706603282.481227 yylex_token: list-buffers
1706603282.481228 cmd_parse_build_commands 0:0: bind
1706603282.481230 cmd_parse_build_commands 0:1: -N
1706603282.481232 cmd_parse_build_commands 0:2: List all paste buffers
1706603282.481234 cmd_parse_build_commands 0:3: #
1706603282.481237 cmd_parse_build_commands 0:4 0:0: list-buffers
1706603282.481240 cmd_parse_build_commands 0:0: list-buffers
1706603282.481243 args_parse: flags end at 1 of 1
1706603282.481244 cmd_parse_build_commands: list-buffers
1706603282.481246 args_parse_flags: next -N
1706603282.481248 args_parse_flag_argument: -N = List all paste buffers
1706603282.481249 args_parse_flags: next #
1706603282.481250 args_parse: flags end at 3 of 5
1706603282.481252 args_parse: 3 = # (type STRING)
1706603282.481254 args_parse: 4 = list-buffers (type COMMANDS)
1706603282.481258 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1706603282.481259 cmdq_get_command: [bind-key/0xaaab51e3f540] group 50
1706603282.481262 cmdq_append <global>: [bind-key/0xaaab51e3f540]
1706603282.481263 yylex_token: end at WS
1706603282.481264 yylex_token: bind
1706603282.481265 yylex_token: end at WS
1706603282.481267 yylex_token: -N
1706603282.481269 yylex_token: end at WS
1706603282.481270 yylex_token: Rename current session
1706603282.481272 yylex_token: end at WS
